Country.of.Origin,Harvest.Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points
Colombia,2017,7.776666666666666,7.6933333333333325,7.526666666666666,7.580000000000001,7.609999999999999,7.609999999999999,10.0,10.0,10.0,7.6933333333333325,83.5
Costa Rica,2012,7.73,7.665,7.5625,7.895,7.73,7.77,9.8325,9.8325,9.0,7.6675,82.6875
Costa Rica,2013,7.60375,7.4175,7.45875,7.52,7.5625,7.51,9.75,9.75,10.0,7.7075,82.28
Costa Rica,2014,7.666875,7.524375,7.499375,7.500625,7.509375,7.691875,9.916875,9.75,9.958125,7.546875,82.568125
Costa Rica,2015,7.757272727272727,7.500909090909091,7.500909090909091,7.463636363636363,7.362727272727272,7.577272727272727,9.697272727272727,10.0,10.0,7.621818181818182,82.47636363636364
Costa Rica,2016,7.605714285714286,7.63,7.607142857142857,7.715714285714285,7.621428571428572,7.62,10.0,10.0,10.0,7.75,83.54857142857144
Costa Rica,2017,7.58,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.67,84.0
Cote D?Ivoire,2016,7.42,7.25,6.83,7.0,7.33,7.08,9.33,10.0,10.0,7.08,79.33
Ecuador,2013,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,10.0,7.67,83.83
El Salvador,2012,7.833333333333333,7.776666666666666,7.609999999999999,7.333333333333333,7.78,7.75,10.0,10.0,9.776666666666666,7.640000000000001,83.5
El Salvador,2013,7.890000000000001,7.8066666666666675,7.526666666666666,7.390000000000001,7.553333333333334,7.723333333333334,9.776666666666666,10.0,10.0,7.723333333333334,83.39
El Salvador,2014,7.625,7.625,7.415,7.585,7.665,8.045,9.665,9.665,9.33,7.455,82.08500000000001
El Salvador,2016,7.526666666666666,7.541666666666667,7.486666666666667,7.596666666666667,7.623333333333334,7.586666666666666,10.0,10.0,9.888333333333334,7.484999999999999,82.73833333333333
El Salvador,2017,7.53,7.416666666666667,7.333333333333333,7.413333333333334,7.583333333333333,7.6933333333333325,10.0,10.0,9.776666666666666,7.473333333333334,82.22333333333334
Ethiopia,2010,7.48,7.625,7.54,7.8125,7.75,7.7275,9.5,9.665,9.6675,7.54,82.31
Ethiopia,2012,7.92,7.92,7.83,8.0,7.92,7.92,10.0,10.0,8.67,7.92,84.08
Ethiopia,2013,8.085,7.96,7.71,7.875,8.0,7.96,10.0,10.0,10.0,7.955,85.53999999999999
Ethiopia,2014,8.084,8.205333333333334,7.995333333333334,8.138666666666667,7.966666666666667,8.051333333333334,9.955333333333334,10.0,10.0,8.193333333333333,86.588
Ethiopia,2015,7.79,7.915,7.83,8.045,7.875,7.955,10.0,10.0,10.0,8.04,85.46000000000001
Ethiopia,2016,7.583333333333333,7.636666666666667,7.416666666666667,7.609999999999999,7.666666666666667,7.5566666666666675,10.0,10.0,10.0,7.553333333333334,83.02666666666666
Ethiopia,2017,7.83,7.875,7.75,7.96,7.625,7.875,10.0,10.0,10.0,7.96,84.875
Guatemala,2012,7.484347826086956,7.383913043478262,7.207826086956522,7.545217391304347,7.452826086956521,7.46304347826087,9.73913043478261,9.71,9.666304347826086,7.339347826086957,80.99304347826087
Guatemala,2013,7.542727272727273,7.431212121212121,7.204242424242424,7.548181818181818,7.392121212121212,7.434848484848485,9.919090909090908,9.979696969696969,9.919090909090908,7.234848484848484,81.60666666666667
Guatemala,2014,7.567096774193549,7.5196774193548395,7.263870967741935,7.618387096774193,7.449032258064515,7.482258064516128,9.870645161290323,9.935161290322581,9.956774193548387,7.400967741935484,82.06161290322581
Guatemala,2015,7.622,7.594666666666667,7.282666666666667,7.706,7.506,7.428666666666667,10.0,10.0,10.0,7.4,82.53933333333333
Guatemala,2016,7.6385000000000005,7.6290000000000004,7.416500000000001,7.741,7.595999999999999,7.5205,9.933,9.933,9.933,7.5329999999999995,82.876
Guatemala,2017,7.515185185185185,7.518888888888888,7.2774074074074075,7.55,7.4907407407407405,7.475925925925925,9.802222222222223,9.90111111111111,9.90111111111111,7.494074074074074,81.92666666666666
Haiti,2010,6.92,6.75,7.08,7.17,7.33,6.67,10.0,5.33,8.67,6.42,72.33
Haiti,2012,7.25,7.026666666666666,7.169999999999999,7.140000000000001,7.330000000000001,7.140000000000001,9.776666666666666,8.666666666666666,8.666666666666666,7.166666666666667,77.33333333333333
Haiti,2013,7.125,7.08,7.04,7.085,7.17,7.125,9.665,10.0,10.0,7.08,79.375
Honduras,2012,7.335,7.5,7.375,7.375,7.54,7.5,10.0,10.0,10.0,7.545,82.17
Honduras,2013,7.5,7.5,7.5,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.17
Honduras,2014,7.195714285714286,7.047142857142857,6.9471428571428575,7.137142857142857,7.125,6.988571428571428,9.380714285714287,9.333571428571428,9.428571428571429,7.077142857142857,77.66071428571429
Honduras,2015,7.465833333333333,7.360833333333333,7.153333333333333,7.418333333333333,7.34,7.299166666666667,10.0,10.0,10.0,7.297499999999999,81.33416666666666
Honduras,2016,7.602222222222222,7.648888888888889,7.462222222222222,7.537777777777778,7.640000000000001,7.546666666666667,10.0,10.0,10.0,7.507777777777777,82.94555555555556
Honduras,2017,6.84,6.8172727272727265,6.590909090909091,6.765454545454546,6.742727272727273,6.697272727272727,9.090909090909092,9.090909090909092,9.090909090909092,6.734545454545454,74.46272727272728
Honduras,2018,7.5,7.42,7.08,7.42,7.5,7.33,10.0,10.0,10.0,7.33,81.58
India,2016,7.67,7.33,7.17,6.67,7.17,7.42,9.33,10.0,6.67,7.42,76.83
Indonesia,2010,7.67,7.58,7.5,7.58,7.67,7.58,10.0,10.0,10.0,7.5,83.08
Indonesia,2011,7.33,7.0,6.5,6.08,7.58,6.33,9.33,10.0,9.33,6.67,76.17
Indonesia,2012,7.890000000000001,7.5566666666666675,7.473333333333334,7.636666666666667,7.6933333333333325,7.609999999999999,10.0,10.0,10.0,7.583333333333333,83.44666666666667
Indonesia,2013,7.17,7.42,7.33,7.42,7.33,7.42,10.0,10.0,10.0,7.58,81.67
Indonesia,2014,7.42,7.42,7.42,7.33,7.42,7.42,10.0,10.0,10.0,7.42,81.83
Indonesia,2015,7.6025,7.625,7.395,7.6675,7.6675,7.6025,9.8325,9.8325,10.0,6.9175,82.145
Indonesia,2016,7.42,7.33,7.335,7.335,7.335,7.29,10.0,10.0,10.0,7.375,81.42
Indonesia,2017,7.662000000000001,7.676,7.4959999999999996,7.566,7.5920000000000005,7.566,10.0,10.0,10.0,7.616,83.176
Kenya,2012,7.798571428571429,7.88,7.727142857142858,7.9628571428571435,7.821428571428571,7.727142857142858,10.0,10.0,10.0,7.774285714285715,84.69000000000001
Kenya,2013,7.831999999999999,7.9,7.831999999999999,8.065999999999999,7.7,7.85,10.0,10.0,10.0,7.934,85.116
Kenya,2014,7.9375,7.895,7.77,7.9375,7.8100000000000005,8.0825,9.8325,9.8325,9.8325,7.9375,84.875
Kenya,2015,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,7.83,85.0
